,text,favorite counts,retweet counts
88,オリンピックはもうやらない東京から新たな新種を生み出す気か我慢は美徳ならオリンピックこそ我慢しろ国民ばかりに我慢を強いるな,0,0
89,みんなからの匿名質問を募集中！こんな質問に答えてるよ●東京オリンピックの後世界的に不…●最近読んでる冒険小説が面白くっ…●エアコンの温度は何度??|ू´…●なんかゲームやってたら右手…,0,0
90,,1,0
91,あんまり関係はないのだけどオリンピックが中止になっても移動する祝日はそのままなのね？,0,0
92,例年なら正月と節分に頂ける下鴨神社の厄除け甘酒が今年はコロナ禍でなくなってしまい、その代わりになりますようにと。そして葵祭、祇園祭をはじめ例年なら行われるはずの日本中の全ての祭が本来の姿で行われますように。オリンピックなんてほんんんっまにどーでもええねん。,0,0
93,鮒忠有明店.東京2020オリンピック・パラリンピックCollection.,3,2
94,隈研吾だけがオリンピックバブルですね。,1,0
95,会場押さえるだけでも大変そうって…あれ？日程はオリンピックとかぶらない(やるなら)？これ宿とか飛行機とか平気？,0,0
96,Rayを見てると、この時とはあまりにも世界が変わりすぎてて、実は今いるこっちがパラレルワールドなんじゃないかと思いたくなるRayの中の世界では東京オリンピックが開催されてるし、望海さんは聖火ランナーもやってる,0,0
97,娘から【兄さんの結婚式に行けない】と…先月から復職した娘の職場は【県外に出たら２週間出勤停止】だって幼い子供がいるから此処で２週間有給使う訳にはいかないと…親子で悩み中😞🌀息子にも気の毒😢こんなに自粛させといて聖火リレーだオリンピックだなんてよくやれるよなぁ😡😠,0,0
98,みんなからの匿名質問を募集中！こんな質問に答えてるよ●キレイなお姉さんは好きですか？…●同人誌で1番みたい(お気に入り…●雪駄派？下駄派？…●オリンピック当選してしまい16…,0,0
99,桑田さんカッコいい！桑田さんたちメンバー、スタッフさんたちが全力で楽しんでくれてる！SMILEオリンピック応援ソング泣けたよ桑田さんからのエール受け取りました！スタジアム満席で拳を上げて叫んで歌うコンサート早く行きたい明日晴れるかな…頑張ろ！,2,0
100,,1,0
101,菅義偉「変異ウィルスの拡大を懸念」は？？？今さら？？？？？！！！！オリンピック利権とGoto利権とマイナ利権にしがみついて、なんの対策もしないさせないして来て、今さら！？私たち国民に対していくらなんでも不誠実すぎるじゃない！お前達の仕事は『公助』だよ！！！,0,0
102,オリンピックをやるならこんな国からも選手やスタッフが来るんだよ。わかってるの？ブラジル感染再拡大で死者最多大統領「泣き言やめろ」（朝日新聞デジタル）,0,0
103,みんなからの匿名質問を募集中！こんな質問に答えてるよ●どんなお仕事してるんですか…●何の肉が好き？(陸でも海でも)…●親孝行って何?って考えるでも…●オリンピックについてお聞かせ下…,0,0
104,ｵﾘﾝﾋﾟｯｸが単なる利権の為って世界中にばれたんだから今後辞めたらいいんじゃないの？,0,0
105,これが左の本音ですよね(笑)東京オリンピックの成功を願います！,1,0
106,,0,0
107,,0,0
108,みんなからの匿名質問を募集中！こんな質問に答えてるよ●オリンピック楽しみなんですけど…●ラケブンするとか幼稚ですかww…●荒野一緒にしてるぎゃるの子誰ー…●田舎者の東京観光楽しいですかー…,0,0
109,もしかしたら平昌の時より、落ち着いてオリンピックに向かえるような気がする。ゆまちもとても楽しみ。もちろん試合は水ものだけど、この３人でワールドに行って3枠取れないイメージは一ミリもできない。敵はウィルスとか、外的なものだけな気がする。,0,0
110,オリンピック目指している選手の皆さんに向かってその言葉吐けるのか⁉️自分の出来る事で発信すれば良い事をいい年してどうかと思う！！ガッカリだわ🤷‍♀️最近の芸能人には本当に呆れてものが言えない🤦‍♀️,1,0
111,さすが、バイデンさん～～～♪日本も、「やればできる」くせして、やろうとしない！そんなに、「コロナよりオリンピック」というなら、その根拠を提示せよ！,0,0
112,【番組】先日出演した『真相深入り！虎ノ門ニュース』、なぜかまだ視聴可能です。ので、これを御縁に後半のウイグルの話と共に、「伊124」潜水艦によるダーウィン攻撃とダーウィン空襲と（29分～）、特集の東京オリンピックの歴史（46分～）のところを改めて聞いてみて下さい。,30,8
113,みんなからの匿名質問を募集中！こんな質問に答えてるよ●次のオリンピックも目指しますよ…●Styleのある滑りが大好きで…,0,0
114,【不定期ポスト】誰にでもオリンピック選手になるための教育を受ける権利があり、誰にでも音楽家になるための教育を受ける権利がある。。誰にでも医者になるための教育を受ける権利がある。。,0,0
115,オリンピックのボランティア申し込んでいる方いますか？,0,0
116,あぁ、もう稽古場でのお稽古も最後で…私が緊張してきた(何故🤷🏻‍♀️)だって舞台観劇って経験がいい歳して殆ど無い。そして、1年以上もギロッポン(死語)に繰り出してないから。都心行かなくなっちゃって、オリンピックでの改修工事とコロナ禍で街の様子がかなり変わってしまってるから不安〜。,0,0
117,東京オリンピック海外客受け入れ見送りへ、3月中に最終判断-ニュース総合掲示板｜期待はしてない！,0,0
118,ゴールド帯オリンピックで言えば一位なので俺はこれを誇る。,2,0
119,ほかのスポーツでも待機期間あるのに、オリンピックだけないのはダメですよね！選手村と会場の往復しかしないとしても、接触する人はいますよね😩,0,0
120,弩級ヤラカシ「山口県公安委員会の委員を現在まで3期務めているほか、東京オリンピック・パラリンピック組織委員会の顧問も」,0,2
121,あの場所はもう、ひろととさくらさんの聖地よね🌸💕,1,0
122,オリンピック&amp;パラリンピックを控える中､何かと忙しい毎日ですが躍進を祈ります｡,0,0
123,1964年の東京オリンピックに、当時分裂状態だった東西ドイツが「統一選手団」として出場。国歌としてベートーヴェンの『交響曲第9番』が歌われた。,7,0
124,もうオリンピックは思い出したくないよ...,0,0
125,羽生は冒頭に４回転２種類を予定１５日未明に男子フリー-JOC,0,0
126,,0,0
127,明日はついにエヴァ公開ですね〜🥰ようやく…本当ようやくだよ…前作が2012年公開とか嘘でしょ😌もう社会現象っていうか一種の行事だよね!!オリンピック的な(笑)それも明日で終わりか〜終わるのか〜？また旧作みたいに視聴者に丸投げしないでくださいね(-人-)楽しみだな〜✨✨✨,0,0
128,,1,0
129,これだけは続けたい早く終わらせるために政府も声を上げろ、オリンピックは同じ大地に立ち日本で見て貰うぞ！,9,3
130,オリンピックとかくそどうでもいいので勝手にGOTOしてもいいですか,0,0
131,ワクチンの話を見ながら、オリンピックのボランティアさんは優先摂取することになるけど、それぞれの自治体でお願いします、みたいなことが起きたりせんのだろうか、とぼんやり考えてる。,0,0
132,,0,0
133,存在しない2020オリンピックスタンプすき,0,0
134,オリンピック、悔しいなアスリートファーストに進めてくれはったら素晴らしい大会なのにほんまに。,1,0
135,,0,0
136,菅直人首相（当時）は、３．１１後の東日本大震災復興構想会議で、提言案に「東日本を中心とした国際競技大会は復興のシンボルになる」と盛り込み石原都知事が表明している2020年の夏季オリンピックの招致を国として積極的に支援する事を打ち出すべきではありませんでした。肝心な事には役に立たない。,0,0
137,,0,0
138,,0,0
139,,1,0
140,オリンピックには無理でも大阪万博にはオールアイドルマスター合同ライブは間に合わせられるわよ？,0,0
141,みんなからの匿名質問を募集中！こんな質問に答えてるよ●最近転職活動をしていて、3社受…●就職活動で一番めんどくさかった…●いま男性Vtuberのホラーゲ…●北京オリンピックの開会式にヒロ…,0,0
142,お釣りで貰った記念硬貨2020年にオリンピックは開催されていないので偽物ですよね😡,3,0
143,政治とは関係なく客と運営がちゃんとしてればオリンピック余裕で開催できると感じた。,0,0
144,予想します。東京オリンピックの中止が決まった次の週から感染者が激増する。,0,0
145,短距離走の極意やがなｗ今からオリンピック狙ってるのかな？,0,0
146,今、「本当にやるのか？」と自分の目で見るまで懐疑的なもの。シンエヴァ最終作と東京オリンピック😅,0,0
147,この漫画はパラレル2020年なので、シンエヴァは6月に公開され、東京オリンピックも猛暑のなか開催し、フジロックや各種夏フェスも通常通り行われています,0,0
148,オリンピック、2024まで先送りじゃダメ？,0,0
149,対馬は何事もなければ今頃は聖地として世界中から誉れの真髄を体験しようと人が集まり、オリンピックの後も日本に活気を与えていたに違いない。てーか、俺も行きたい。,0,0
150,オリンピック&amp;パラリンピックを目前に控え更なる大躍進を期待します｡,0,0
151,ところで東京オリンピックはどうなるんですかね😬気になります😅,1,0
152,横井選手がシンユビン選手に勝ったら大分やばない？オリンピック代表選手やから！でも考えたら一応シンユビン選手って横井選手よりも年下？ですよね？,1,0
153,可能性がゼロとは言い切れないので、大喜利がオリンピック正式種目になった時の為にホワイトボードを出すタイミングを研究しときます。(広),0,0
154,ワク○ンが効いたかどうかは【Ct値をいじれば有効だと証明出来る（そう見せかけられる）】オリンピックを開催する為の口実にも出来る。それとそもそも、PCR検査法は民間も行っているので色んな検査方が存在する。色んな検査法をひとまとめにしてPCR陽性者としているのが【おかしい】この統計が,3,1
155,こ、これは、、かなりヤバいよ。。。怖いよ・・・オリンピックとか言ってる場合ではないよ。本当に怖い。,1,2
156,【オリンピックあるある】優勝して金メダルを噛んだらまさかのひび割れ,0,0
157,オリンピックに関しては意地を張るくせに、なぜ国民に対しては一律給付金を出し渋るのでしょう、訳が分かりません。オリンピックはいっときです、そして一部の人のためだと思います。コロナ禍はまだ続きます。,0,0
158,『香川敬前会長は平成26年7月からは警察を管理する山口県公安委員会の委員を現在まで3期務めているほか、東京オリンピック・パラリンピック組織委員会の顧問も務めています』😱,0,0
159,JohnWilliams:OlympicFanfareandThemeジョン・ウィリアムズ:オリンピック・ファンフェアと主題—3bassoons(3rddoublingcontrabassoon),0,0
160,オリンピックかよ,2,0
161,,1,0
162,今R-1見たらZAZY(サジー)さんが出ててつばさん達のオリンピック動画思い出したw,0,0
163,いつも情報有り難うございます世界の感染者数がすごいのにオリンピックとか言ってる日本が恥ずかしいです分科会は「変異ウィルスの検査は陽性判明者の5%～10%だけすればいい」とワケわからん事を言ってます,4,2
164,前回の日本オリンピック開催地⛷️,3,0
165,,1,0
166,,2,1
167,東京オリンピックで、コンドームが配布される件について。ワイドなショーの芸能リポーターが、「これって都市伝説でしょ」と聞かれてて苦笑いで否定してて、えー本当にあるんだーって思った昨年の思い出,0,0
168,,0,0
169,48グループと乃木坂のオリンピック開会式の出演を願う垢です∧_∧(__)ぺこっヽﾉ)｣｣,0,0
170,,0,0
171,ぽん酢ちゃんとならノリで生きていけるわ…🥰卍どの身長になってもどうせ納得しないんだろうなって思いながらのないものねだり((色んな作品混じってるけど何のコスでオリンピック出るん？🥺🥺🥺,0,0
172,よって人生は遺伝と運によって金が絡まったり、オリンピックに出たり、ラジバンダリーだ。,0,0
173,時事通信に復興五輪「歴史に残る大会に」安倍前首相インタビュー―東日本大震災１０年。安倍晋三の嘘八百オリンピックインタビューが酷い。復興に役に立たないという声が7割近くあるのに、安倍晋三は胸を張って復興五輪と言う。,0,0
174,今日はオリンピック開催日ですね,6,1
