KEY_CODE,HYOSYO,CITYNAME,NAME,HTKSYORI,HTKSAKI,GASSAN,T000848001,T000848002,T000848003,T000848004
252011700,2,大津市,御幸町,0,,,394,187,207,238
252011710,2,大津市,逢坂,0,,,1350,607,743,623
25201171001,3,大津市,逢坂１丁目,0,,,914,416,498,418
25201171002,3,大津市,逢坂２丁目,0,,,436,191,245,205
252011730,2,大津市,札の辻,0,,,138,61,77,65
252011740,2,大津市,音羽台,0,,,237,108,129,91
252011750,2,大津市,朝日が丘,0,,,2605,1189,1416,1063
25201175001,3,大津市,朝日が丘１丁目,0,,,1956,890,1066,790
25201175002,3,大津市,朝日が丘２丁目,0,,,649,299,350,273
252011770,2,大津市,本宮,0,,,2776,1294,1482,1023
25201177001,3,大津市,本宮１丁目,0,,,56,25,31,21
25201177002,3,大津市,本宮２丁目,0,,,2720,1269,1451,1002
252011790,2,大津市,中央,0,,,3242,1520,1722,1554
25201179001,3,大津市,中央１丁目,0,,,754,375,379,400
25201179002,3,大津市,中央２丁目,0,,,738,333,405,371
25201179003,3,大津市,中央３丁目,0,,,575,252,323,260
25201179004,3,大津市,中央４丁目,0,,,1175,560,615,523
252011830,2,大津市,京町,0,,,1247,587,660,633
25201183001,3,大津市,京町１丁目,0,,,572,273,299,253
25201183002,3,大津市,京町２丁目,0,,,316,146,170,140
25201183003,3,大津市,京町３丁目,0,,,195,87,108,146
25201183004,3,大津市,京町４丁目,0,,,164,81,83,94
252011870,2,大津市,島の関,0,,,457,225,232,262
252011880,2,大津市,浜町,0,,,141,66,75,63
252011900,2,大津市,西の庄,0,,,1203,564,639,489
252011910,2,大津市,馬場,0,,,2131,1014,1117,958
25201191001,3,大津市,馬場１丁目,0,,,368,192,176,179
25201191002,3,大津市,馬場２丁目,0,,,590,279,311,268
25201191003,3,大津市,馬場３丁目,0,,,1173,543,630,511
252011940,2,大津市,鶴の里,0,,,658,311,347,260
252011950,2,大津市,石場,0,,,674,326,348,275
252011960,2,大津市,松本,0,,,894,405,489,373
25201196001,3,大津市,松本１丁目,0,,,219,101,118,92
25201196002,3,大津市,松本２丁目,0,,,675,304,371,281
252011980,2,大津市,打出浜,0,,,1187,556,631,534
252011990,2,大津市,竜が丘,0,,,2145,986,1159,874
252012010,2,大津市,におの浜,0,,,5856,2772,3084,2407
25201201001,3,大津市,におの浜１丁目,0,,,696,332,364,269
25201201002,3,大津市,におの浜２丁目,0,,,2363,1082,1281,1036
25201201003,3,大津市,におの浜３丁目,0,,,1639,813,826,655
25201201004,3,大津市,におの浜４丁目,0,,,1158,545,613,447
252012050,2,大津市,木下町,0,,,1054,488,566,449
252012060,2,大津市,昭和町,0,,,401,198,203,189
252012070,2,大津市,相模町,0,,,203,75,128,43
252012080,2,大津市,膳所,0,,,1637,776,861,705
25201208001,3,大津市,膳所１丁目,0,,,1151,536,615,483
25201208002,3,大津市,膳所２丁目,0,,,486,240,246,222
252012100,2,大津市,丸の内町,0,,,1003,480,523,450
252012110,2,大津市,本丸町,0,,,1612,715,897,918
252012120,2,大津市,中庄,0,,,2775,1346,1429,1177
25201212001,3,大津市,中庄１丁目,0,,,1747,830,917,757
25201212002,3,大津市,中庄２丁目,0,,,1028,516,512,420
252012140,2,大津市,御殿浜,0,,,971,438,533,469
252012150,2,大津市,杉浦町,0,,,1063,522,541,442
252012160,2,大津市,別保,0,,,2024,954,1070,845
25201216001,3,大津市,別保１丁目,0,,,804,376,428,333
25201216002,3,大津市,別保２丁目,0,,,633,312,321,257
25201216003,3,大津市,別保３丁目,0,,,587,266,321,255
252012190,2,大津市,湖城が丘,0,,,2879,1403,1476,1172
252012200,2,大津市,膳所池ノ内町,0,,,25,15,10,11
252012210,2,大津市,由美浜,0,,,-,-,-,-
252012220,2,大津市,秋葉台,0,,,2693,1333,1360,954
252012230,2,大津市,富士見台,0,,,3489,1662,1827,1306
252012240,2,大津市,膳所平尾町,0,,,44,21,23,19
252012260,2,大津市,膳所上別保町,0,,,-,-,-,-
252012270,2,大津市,若葉台,0,,,1532,754,778,611
252012280,2,大津市,園山,0,,,1153,743,410,598
25201228001,3,大津市,園山１丁目,0,,,58,42,16,49
25201228002,3,大津市,園山２丁目,0,,,1059,674,385,527
25201228003,3,大津市,園山３丁目,0,,,36,27,9,22
252012300,2,大津市,美崎町,0,,,225,115,110,87
252012320,2,大津市,松原町,0,,,1026,505,521,516
252012330,2,大津市,粟津町,0,,,743,370,373,362
252012340,2,大津市,栄町,0,,,1274,587,687,573
252012350,2,大津市,鳥居川町,0,,,983,448,535,402
252012360,2,大津市,唐橋町,0,,,2411,1150,1261,971
252012370,2,大津市,北大路,0,,,3010,1492,1518,1301
25201237001,3,大津市,北大路１丁目,0,,,770,382,388,401
25201237002,3,大津市,北大路２丁目,0,,,964,498,466,407
25201237003,3,大津市,北大路３丁目,0,,,1276,612,664,493
252012390,2,大津市,田辺町,0,,,895,415,480,390
252012400,2,大津市,光が丘町,0,,,257,119,138,98
252012420,2,大津市,晴嵐,0,,,783,388,395,416
25201242001,3,大津市,晴嵐１丁目,0,,,424,213,211,239
25201242002,3,大津市,晴嵐２丁目,0,,,359,175,184,177
252012440,2,大津市,螢谷,0,,,1184,547,637,495
252012450,2,大津市,国分,0,,,6122,2980,3142,2398
25201245001,3,大津市,国分１丁目,0,,,4185,1995,2190,1604
25201245002,3,大津市,国分２丁目,0,,,1937,985,952,794
252012470,2,大津市,石山寺辺町,0,,,29,15,14,11
252012490,2,大津市,大平,0,,,4355,2311,2044,1881
25201249001,3,大津市,大平１丁目,0,,,1999,1193,806,736
25201249002,3,大津市,大平２丁目,0,,,2356,1118,1238,1145
252012510,2,大津市,石山寺,0,,,3279,1575,1704,1310
25201251001,3,大津市,石山寺１丁目,0,,,86,36,50,29
25201251002,3,大津市,石山寺２丁目,0,,,1103,527,576,402
25201251003,3,大津市,石山寺３丁目,0,,,1068,503,565,422
25201251004,3,大津市,石山寺４丁目,0,,,464,240,224,215
25201251005,3,大津市,石山寺５丁目,0,,,558,269,289,242
252012560,2,大津市,平津,0,,,3312,1582,1730,1375
25201256001,3,大津市,平津１丁目,0,,,1916,901,1015,850
25201256002,3,大津市,平津２丁目,0,,,1396,681,715,525
252012580,2,大津市,赤尾町,0,,,1185,578,607,454
252012590,2,大津市,石山千町,0,,,151,53,98,6
252012600,2,大津市,石山南郷町,0,,,-,-,-,-
252012610,2,大津市,石山内畑町,0,,,26,14,12,10
252012620,2,大津市,石山外畑町,0,,,63,32,31,25
252012630,2,大津市,千町,0,,,2456,1189,1267,951
25201263001,3,大津市,千町１丁目,0,,,1394,686,708,550
25201263002,3,大津市,千町２丁目,0,,,880,416,464,339
25201263003,3,大津市,千町３丁目,0,,,153,76,77,50
25201263004,3,大津市,千町４丁目,0,,,29,11,18,12
252012670,2,大津市,南郷,0,,,5326,2548,2778,2115
25201267001,3,大津市,南郷１丁目,0,,,905,444,461,396
25201267002,3,大津市,南郷２丁目,0,,,1751,833,918,709
25201267003,3,大津市,南郷３丁目,0,,,137,56,81,59
25201267004,3,大津市,南郷４丁目,0,,,1303,619,684,478
25201267005,3,大津市,南郷５丁目,0,,,1058,517,541,400
25201267006,3,大津市,南郷６丁目,0,,,172,79,93,73
252012680,2,大津市,南郷上山町,0,,,353,180,173,105
252012731,2,大津市,大石曾束,0,,,111,62,49,39
25201273101,3,大津市,大石曾束１丁目,0,,,12,7,5,6
25201273102,3,大津市,大石曾束２丁目,0,,,76,42,34,24
25201273103,3,大津市,大石曾束３丁目,0,,,7,4,3,4
25201273104,3,大津市,大石曾束４丁目,0,,,-,-,-,-
25201273105,3,大津市,大石曾束５丁目,0,,,16,9,7,5
252012732,2,大津市,大石曾束町,0,,,-,-,-,-
252012741,2,大津市,大石小田原,0,,,128,65,63,45
25201274101,3,大津市,大石小田原１丁目,0,,,89,41,48,30
25201274102,3,大津市,大石小田原２丁目,0,,,39,24,15,15
252012742,2,大津市,大石小田原町,0,,,-,-,-,-
252012751,2,大津市,大石竜門,0,,,302,144,158,98
25201275101,3,大津市,大石竜門１丁目,0,,,83,37,46,27
25201275102,3,大津市,大石竜門２丁目,0,,,55,24,31,18
25201275103,3,大津市,大石竜門３丁目,0,,,81,42,39,26
25201275104,3,大津市,大石竜門４丁目,0,,,2,1,1,1
25201275105,3,大津市,大石竜門５丁目,0,,,42,21,21,13
25201275106,3,大津市,大石竜門６丁目,0,,,39,19,20,13
252012752,2,大津市,大石竜門町,0,,,-,-,-,-
252012761,2,大津市,大石淀,0,,,231,97,134,72
25201276101,3,大津市,大石淀１丁目,0,,,34,14,20,12
25201276102,3,大津市,大石淀２丁目,0,,,32,15,17,14
25201276103,3,大津市,大石淀３丁目,0,,,165,68,97,46
252012762,2,大津市,大石淀町,0,,,-,-,-,-
252012771,2,大津市,大石中,0,,,2087,1046,1041,638
25201277101,3,大津市,大石中１丁目,0,,,195,88,107,52
25201277102,3,大津市,大石中２丁目,0,,,117,58,59,43
25201277103,3,大津市,大石中３丁目,0,,,124,57,67,45
25201277104,3,大津市,大石中４丁目,0,,,468,236,232,144
25201277105,3,大津市,大石中５丁目,0,,,1068,541,527,316
25201277106,3,大津市,大石中６丁目,0,,,10,9,1,9
25201277107,3,大津市,大石中７丁目,0,,,105,57,48,29
252012772,2,大津市,大石中町,0,,,-,-,-,-
252012781,2,大津市,大石東,0,,,2055,993,1062,761
25201278101,3,大津市,大石東１丁目,0,,,128,64,64,43
25201278102,3,大津市,大石東２丁目,0,,,85,45,40,31
25201278103,3,大津市,大石東３丁目,0,,,171,77,94,67
25201278104,3,大津市,大石東４丁目,0,,,621,304,317,234
25201278105,3,大津市,大石東５丁目,0,,,791,382,409,300
25201278106,3,大津市,大石東６丁目,0,,,222,107,115,73
25201278107,3,大津市,大石東７丁目,0,,,37,14,23,13
252012782,2,大津市,大石東町,0,,,-,-,-,-
252012791,2,大津市,大石富川,0,,,140,64,76,57
25201279101,3,大津市,大石富川１丁目,0,,,51,22,29,19
25201279102,3,大津市,大石富川２丁目,0,,,33,13,20,14
25201279103,3,大津市,大石富川３丁目,0,,,36,21,15,15
25201279104,3,大津市,大石富川４丁目,0,,,20,8,12,9
252012792,2,大津市,大石富川町,0,,,-,-,-,-
252012800,2,大津市,羽栗,0,,,461,216,245,158
25201280001,3,大津市,羽栗１丁目,0,,,176,83,93,66
25201280002,3,大津市,羽栗２丁目,0,,,48,22,26,17
25201280003,3,大津市,羽栗３丁目,0,,,237,111,126,75
252012810,2,大津市,森,0,,,226,116,110,74
25201281001,3,大津市,森１丁目,0,,,20,8,12,8
25201281002,3,大津市,森２丁目,0,,,78,37,41,25
25201281003,3,大津市,森３丁目,0,,,128,71,57,41
252012820,2,大津市,枝,0,,,1160,560,600,399
25201282001,3,大津市,枝１丁目,0,,,104,47,57,36
25201282002,3,大津市,枝２丁目,0,,,117,52,65,39
25201282003,3,大津市,枝３丁目,0,,,369,176,193,130
25201282004,3,大津市,枝４丁目,0,,,570,285,285,194
252012830,2,大津市,里,0,,,3380,1628,1752,1150
25201283001,3,大津市,里１丁目,0,,,189,95,94,57
25201283002,3,大津市,里２丁目,0,,,8,4,4,4
25201283003,3,大津市,里３丁目,0,,,767,373,394,244
25201283004,3,大津市,里４丁目,0,,,17,8,9,5
25201283005,3,大津市,里５丁目,0,,,760,360,400,258
25201283006,3,大津市,里６丁目,0,,,945,453,492,333
25201283007,3,大津市,里７丁目,0,,,694,335,359,249
252012840,2,大津市,石居,0,,,291,152,139,108
25201284001,3,大津市,石居１丁目,0,,,106,50,56,41
25201284002,3,大津市,石居２丁目,0,,,-,-,-,-
25201284003,3,大津市,石居３丁目,0,,,185,102,83,67
252012850,2,大津市,稲津,0,,,1907,945,962,831
25201285001,3,大津市,稲津１丁目,0,,,793,392,401,322
25201285002,3,大津市,稲津２丁目,0,,,541,276,265,271
25201285003,3,大津市,稲津３丁目,0,,,573,277,296,238
25201285004,3,大津市,稲津４丁目,0,,,-,-,-,-
252012860,2,大津市,黒津,0,,,1340,646,694,518
25201286001,3,大津市,黒津１丁目,0,,,304,150,154,116
25201286002,3,大津市,黒津２丁目,0,,,650,317,333,247
25201286003,3,大津市,黒津３丁目,0,,,379,177,202,153
25201286004,3,大津市,黒津４丁目,0,,,-,-,-,-
25201286005,3,大津市,黒津５丁目,0,,,7,2,5,2
252012870,2,大津市,太子,0,,,143,66,77,45
25201287001,3,大津市,太子１丁目,0,,,82,39,43,27
25201287002,3,大津市,太子２丁目,0,,,61,27,34,18
252012880,2,大津市,関津,0,,,1735,860,875,622
25201288000,3,大津市,関津,0,,,-,-,-,-
25201288001,3,大津市,関津１丁目,0,,,201,93,108,69
25201288002,3,大津市,関津２丁目,0,,,68,34,34,21
25201288003,3,大津市,関津３丁目,0,,,454,217,237,161
25201288004,3,大津市,関津４丁目,0,,,69,39,30,36
25201288005,3,大津市,関津５丁目,0,,,44,27,17,13
25201288006,3,大津市,関津６丁目,0,,,899,450,449,322
252012890,2,大津市,青山,0,,,5855,2836,3019,1861
25201289001,3,大津市,青山１丁目,0,,,628,299,329,225
25201289002,3,大津市,青山２丁目,0,,,591,277,314,188
25201289003,3,大津市,青山３丁目,0,,,695,333,362,225
25201289004,3,大津市,青山４丁目,0,,,683,327,356,255
25201289005,3,大津市,青山５丁目,0,,,384,184,200,137
25201289006,3,大津市,青山６丁目,0,,,797,386,411,241
25201289007,3,大津市,青山７丁目,0,,,804,400,404,236
25201289008,3,大津市,青山８丁目,0,,,1273,630,643,354
252012901,2,大津市,松ヶ丘,0,,,3516,1775,1741,943
25201290101,3,大津市,松ヶ丘１丁目,0,,,625,318,307,174
25201290102,3,大津市,松ヶ丘２丁目,0,,,650,319,331,186
25201290103,3,大津市,松ヶ丘３丁目,0,,,698,349,349,187
25201290104,3,大津市,松ヶ丘４丁目,0,,,192,91,101,53
25201290105,3,大津市,松ヶ丘５丁目,0,,,817,422,395,227
25201290106,3,大津市,松ヶ丘６丁目,0,,,276,147,129,43
25201290107,3,大津市,松ヶ丘７丁目,0,,,258,129,129,73
252012910,2,大津市,上田上大鳥居町,0,,,-,-,-,-
252012921,2,大津市,桐生,0,,,1040,461,579,300
25201292101,3,大津市,桐生１丁目,0,,,656,262,394,164
25201292102,3,大津市,桐生２丁目,0,,,301,158,143,106
25201292103,3,大津市,桐生３丁目,0,,,83,41,42,30
252012922,2,大津市,上田上桐生町,0,,,5,3,2,2
252012931,2,大津市,牧,0,,,397,179,218,123
25201293101,3,大津市,牧１丁目,0,,,358,162,196,110
25201293102,3,大津市,牧２丁目,0,,,32,13,19,11
25201293103,3,大津市,牧３丁目,0,,,7,4,3,2
